,Epoch,Iteration,Accuracy,Top3,Prediction,Target
0,1,493.0,0.375,0.75,[9 4 3 2 4 0 6 1],"tensor([5, 9, 8, 2, 9, 7, 6, 1])"
0,1,494.0,0.375,0.875,[6 9 3 4 4 2 2 6],"tensor([9, 8, 6, 9, 4, 2, 4, 6])"
0,1,495.0,0.625,0.625,[8 1 7 1 0 9 8 7],"tensor([8, 1, 1, 1, 0, 9, 4, 1])"
0,1,496.0,0.5,0.5,[3 9 4 0 7 8 9 6],"tensor([8, 9, 4, 0, 9, 3, 8, 6])"
0,1,497.0,0.125,0.75,[4 3 3 2 7 5 5 2],"tensor([9, 6, 2, 2, 1, 7, 8, 4])"
0,1,498.0,0.25,0.625,[8 9 0 9 5 0 9 9],"tensor([0, 9, 6, 1, 8, 0, 1, 1])"
0,1,499.0,0.375,0.5,[3 0 4 6 2 4 5 6],"tensor([5, 6, 4, 6, 8, 4, 6, 9])"
0,1,500.0,0.375,0.75,[7 9 2 8 5 5 8 8],"tensor([7, 9, 4, 9, 8, 5, 1, 4])"
0,2,1.0,0.75,0.875,[0 7 1 1 9 2 4 9],"tensor([0, 7, 1, 1, 1, 5, 4, 9])"
0,2,2.0,0.5,0.875,[1 8 2 4 1 2 0 2],"tensor([1, 8, 2, 5, 1, 5, 6, 4])"
0,2,3.0,0.5,0.625,[7 3 4 5 7 5 0 8],"tensor([7, 1, 4, 0, 7, 8, 0, 2])"
0,2,4.0,0.5,0.625,[9 1 8 2 9 3 5 9],"tensor([9, 1, 8, 8, 9, 1, 7, 1])"
0,2,5.0,0.75,0.875,[6 0 6 1 4 9 4 3],"tensor([6, 0, 6, 8, 4, 7, 4, 3])"
0,2,6.0,0.625,0.875,[8 2 3 6 4 1 6 1],"tensor([8, 6, 3, 6, 5, 1, 4, 1])"
0,2,7.0,0.375,0.5,[6 0 9 7 0 3 4 9],"tensor([5, 0, 2, 1, 0, 6, 4, 1])"
0,2,8.0,0.25,0.5,[2 6 8 9 2 7 6 9],"tensor([1, 9, 6, 7, 2, 7, 4, 7])"
0,2,9.0,0.5,0.5,[0 4 5 9 9 4 5 0],"tensor([0, 4, 0, 9, 9, 1, 8, 8])"
0,2,10.0,0.5,0.75,[8 6 1 1 2 9 9 9],"tensor([8, 4, 1, 1, 4, 9, 7, 7])"
0,2,11.0,0.5,0.875,[0 4 2 9 6 2 7 5],"tensor([0, 4, 2, 5, 1, 4, 7, 6])"
0,2,12.0,0.875,1.0,[3 3 2 7 5 2 6 1],"tensor([6, 3, 2, 7, 5, 2, 6, 1])"
0,2,13.0,0.625,0.75,[7 0 0 5 0 3 3 2],"tensor([7, 0, 8, 0, 0, 3, 3, 5])"
0,2,14.0,0.625,0.875,[8 0 6 8 9 5 3 6],"tensor([8, 6, 6, 8, 8, 3, 3, 6])"
0,2,15.0,0.75,0.875,[3 0 7 3 8 9 7 9],"tensor([3, 0, 7, 3, 3, 9, 7, 3])"
0,2,16.0,0.5,1.0,[3 3 2 0 2 2 2 8],"tensor([3, 3, 4, 5, 6, 2, 2, 5])"
0,2,17.0,0.625,0.625,[8 4 1 7 3 1 1 1],"tensor([5, 4, 8, 9, 3, 1, 1, 1])"
0,2,18.0,0.375,0.625,[3 5 5 0 6 1 6 3],"tensor([3, 8, 5, 2, 5, 1, 5, 6])"
0,2,19.0,0.125,0.5,[5 0 6 3 5 4 3 8],"tensor([6, 0, 8, 8, 3, 9, 2, 1])"
0,2,20.0,0.75,1.0,[9 7 1 1 4 1 3 2],"tensor([9, 7, 1, 1, 9, 1, 0, 2])"
0,2,21.0,0.375,0.875,[8 3 1 7 5 3 6 3],"tensor([3, 1, 1, 7, 0, 6, 6, 8])"
0,2,22.0,0.375,0.625,[2 2 0 6 4 1 6 5],"tensor([4, 5, 0, 9, 7, 1, 6, 0])"
0,2,23.0,0.5,0.625,[8 5 6 6 9 1 1 1],"tensor([1, 6, 1, 6, 3, 1, 1, 1])"
0,2,24.0,0.5,0.875,[2 6 2 4 7 8 9 5],"tensor([1, 6, 2, 9, 7, 8, 7, 0])"
0,2,25.0,0.5,0.625,[3 3 5 6 2 1 7 0],"tensor([3, 6, 0, 5, 2, 1, 3, 0])"
0,2,26.0,0.5,0.625,[7 5 5 8 8 6 9 6],"tensor([7, 6, 5, 3, 8, 5, 9, 9])"
0,2,27.0,0.75,0.75,[2 8 0 9 4 4 5 4],"tensor([2, 8, 0, 8, 7, 4, 5, 4])"
0,2,28.0,0.875,1.0,[0 7 9 7 5 6 8 4],"tensor([0, 7, 9, 7, 5, 6, 5, 4])"
0,2,29.0,0.625,0.625,[2 1 9 1 8 8 4 4],"tensor([2, 1, 4, 1, 3, 8, 4, 7])"
0,2,30.0,0.75,0.75,[9 9 1 0 4 2 0 8],"tensor([9, 9, 1, 5, 7, 2, 0, 8])"
0,2,31.0,0.5,0.75,[2 9 5 1 2 5 7 2],"tensor([2, 7, 8, 1, 2, 3, 7, 6])"
0,2,32.0,0.625,0.875,[3 4 9 9 8 9 7 2],"tensor([3, 4, 9, 4, 5, 3, 7, 2])"
0,2,33.0,0.25,0.5,[4 5 2 5 1 1 8 7],"tensor([7, 8, 5, 3, 1, 1, 3, 9])"
0,2,34.0,0.625,0.75,[0 1 9 0 9 2 4 4],"tensor([2, 1, 8, 0, 5, 2, 4, 4])"
0,2,35.0,0.625,0.875,[9 6 1 1 1 4 5 6],"tensor([8, 6, 1, 1, 1, 9, 0, 6])"
0,2,36.0,0.375,0.75,[8 4 6 8 1 1 6 4],"tensor([5, 7, 4, 8, 1, 1, 5, 7])"
0,2,37.0,0.25,0.75,[3 5 4 2 3 0 6 8],"tensor([6, 8, 7, 4, 6, 0, 5, 8])"
0,2,38.0,0.875,1.0,[5 1 8 7 6 5 0 7],"tensor([5, 1, 8, 7, 9, 5, 0, 7])"
0,2,39.0,0.5,0.5,[6 0 2 0 5 0 3 9],"tensor([5, 6, 2, 0, 0, 0, 4, 9])"
0,2,40.0,0.25,0.625,[2 2 8 2 8 7 8 9],"tensor([6, 6, 5, 2, 6, 7, 3, 4])"
0,2,41.0,0.75,1.0,[8 6 4 7 9 4 0 4],"tensor([2, 6, 7, 7, 9, 4, 0, 4])"
0,2,42.0,0.875,0.875,[3 5 4 4 5 1 8 0],"tensor([3, 8, 4, 4, 5, 1, 8, 0])"
0,2,43.0,0.375,0.5,[8 3 3 9 1 5 6 1],"tensor([5, 3, 2, 7, 1, 7, 2, 1])"
0,2,44.0,0.25,0.875,[0 7 5 7 3 2 8 6],"tensor([0, 7, 6, 9, 6, 4, 0, 1])"
0,2,45.0,0.625,0.875,[7 7 0 2 7 9 5 2],"tensor([7, 7, 6, 6, 7, 7, 5, 2])"
0,2,46.0,0.375,0.625,[5 8 7 4 7 5 1 3],"tensor([8, 8, 7, 7, 7, 0, 8, 6])"
0,2,47.0,0.875,1.0,[8 1 1 5 3 1 2 2],"tensor([8, 1, 1, 5, 3, 1, 6, 2])"
0,2,48.0,0.625,0.875,[7 1 9 3 5 6 3 5],"tensor([7, 1, 8, 9, 5, 4, 3, 5])"
0,2,49.0,0.5,0.75,[3 9 6 1 3 9 5 9],"tensor([1, 7, 6, 1, 0, 9, 5, 1])"
0,2,50.0,0.625,0.75,[6 1 2 0 5 0 2 6],"tensor([6, 1, 2, 2, 5, 9, 2, 5])"
0,2,51.0,0.5,0.5,[6 1 9 6 1 8 1 6],"tensor([0, 1, 1, 6, 1, 2, 1, 5])"
0,2,52.0,0.5,0.75,[1 6 1 8 7 9 9 0],"tensor([1, 5, 1, 5, 7, 8, 1, 0])"
0,2,53.0,0.375,0.375,[7 0 6 6 8 8 3 6],"tensor([7, 6, 5, 6, 3, 3, 3, 1])"
0,2,54.0,0.375,0.875,[2 2 8 7 6 6 9 8],"tensor([4, 4, 8, 8, 9, 5, 9, 8])"
0,2,55.0,0.75,0.875,[7 0 4 1 1 2 9 0],"tensor([7, 0, 9, 1, 1, 2, 8, 0])"
0,2,56.0,0.5,0.75,[9 7 9 7 6 7 1 7],"tensor([7, 7, 1, 7, 6, 9, 1, 1])"
0,2,57.0,0.5,0.625,[1 5 8 4 1 3 5 6],"tensor([1, 1, 3, 4, 1, 3, 7, 5])"
0,2,58.0,0.875,1.0,[1 5 1 7 3 0 4 2],"tensor([1, 8, 1, 7, 3, 0, 4, 2])"
0,2,59.0,0.5,0.625,[3 6 9 7 3 5 4 6],"tensor([6, 6, 9, 1, 3, 0, 9, 6])"
0,2,60.0,0.5,0.5,[2 8 3 3 7 0 4 6],"tensor([9, 2, 3, 1, 7, 0, 9, 6])"
0,2,61.0,0.625,0.875,[6 8 7 3 3 1 2 0],"tensor([6, 8, 7, 8, 6, 1, 2, 6])"
0,2,62.0,0.5,0.625,[6 0 9 5 9 3 1 8],"tensor([5, 6, 9, 5, 7, 6, 1, 8])"
0,2,63.0,0.5,0.875,[6 7 2 2 3 4 4 8],"tensor([9, 7, 2, 4, 3, 7, 4, 0])"
0,2,64.0,0.375,0.625,[7 3 4 5 4 3 5 5],"tensor([7, 6, 4, 3, 1, 8, 5, 9])"
0,2,65.0,0.125,0.5,[4 7 5 9 5 4 1 2],"tensor([4, 1, 3, 5, 0, 9, 8, 6])"
0,2,66.0,0.625,0.875,[7 1 9 4 6 1 7 5],"tensor([9, 1, 9, 1, 5, 1, 7, 5])"
0,2,67.0,0.5,0.75,[0 5 7 2 3 5 1 3],"tensor([0, 7, 7, 7, 6, 0, 1, 3])"
0,2,68.0,0.375,0.625,[1 3 2 6 2 9 0 5],"tensor([1, 3, 4, 5, 6, 9, 2, 3])"
0,2,69.0,0.5,0.625,[3 1 5 7 4 7 1 3],"tensor([6, 1, 5, 1, 7, 7, 1, 6])"
0,2,70.0,0.375,0.5,[5 1 5 1 0 0 3 0],"tensor([3, 1, 2, 1, 0, 9, 6, 2])"
0,2,71.0,0.375,0.875,[5 3 5 1 3 2 0 2],"tensor([5, 6, 3, 1, 3, 4, 6, 5])"
0,2,72.0,0.75,0.875,[1 2 9 4 8 1 4 6],"tensor([1, 2, 9, 4, 8, 1, 7, 4])"
0,2,73.0,0.375,0.875,[3 0 3 8 9 2 1 8],"tensor([3, 6, 6, 8, 4, 2, 5, 3])"
0,2,74.0,0.25,1.0,[7 4 1 0 7 2 5 6],"tensor([5, 4, 0, 6, 7, 4, 0, 5])"
0,2,75.0,0.625,0.875,[4 5 1 4 4 2 6 1],"tensor([4, 8, 1, 9, 4, 6, 6, 1])"
0,2,76.0,0.375,0.625,[4 7 3 0 8 8 5 4],"tensor([7, 7, 3, 5, 5, 1, 3, 4])"
0,2,77.0,0.5,0.75,[1 1 0 7 9 8 2 7],"tensor([1, 1, 9, 7, 4, 8, 6, 1])"
0,2,78.0,0.875,1.0,[4 4 1 9 6 6 2 2],"tensor([4, 4, 1, 3, 6, 6, 2, 2])"
0,2,79.0,0.25,0.75,[9 8 2 7 6 2 0 5],"tensor([4, 3, 4, 7, 5, 1, 0, 3])"
0,2,80.0,0.5,0.75,[0 0 8 9 3 8 0 2],"tensor([0, 0, 6, 3, 5, 5, 0, 2])"
0,2,81.0,0.375,0.625,[9 9 6 4 4 5 4 2],"tensor([7, 8, 4, 4, 4, 3, 4, 6])"
0,2,82.0,0.25,0.5,[3 6 1 3 3 7 8 7],"tensor([8, 5, 1, 5, 2, 1, 3, 7])"
0,2,83.0,0.625,1.0,[3 8 4 2 7 7 7 9],"tensor([6, 3, 9, 2, 7, 7, 7, 9])"
0,2,84.0,0.375,0.5,[9 3 7 9 7 9 2 7],"tensor([3, 3, 7, 7, 9, 3, 6, 7])"
0,2,85.0,0.625,0.875,[9 7 5 0 5 6 4 3],"tensor([9, 7, 3, 6, 0, 6, 4, 3])"
0,2,86.0,0.625,0.875,[8 4 5 2 5 7 9 4],"tensor([8, 4, 0, 2, 5, 7, 7, 5])"
0,2,87.0,0.5,0.625,[5 6 7 7 5 0 2 4],"tensor([3, 6, 9, 7, 0, 0, 2, 1])"
0,2,88.0,0.625,0.625,[6 6 6 2 5 4 7 9],"tensor([6, 6, 6, 2, 2, 7, 9, 9])"
0,2,89.0,0.5,0.625,[6 7 3 9 7 4 4 4],"tensor([8, 3, 5, 9, 9, 4, 4, 4])"
0,2,90.0,0.5,0.625,[9 9 3 3 8 8 5 3],"tensor([1, 4, 3, 1, 8, 8, 8, 3])"
0,2,91.0,0.625,0.75,[5 8 1 2 5 7 2 9],"tensor([5, 8, 1, 4, 8, 7, 2, 3])"
0,2,92.0,0.75,0.875,[3 7 5 7 0 4 6 4],"tensor([2, 7, 5, 7, 0, 4, 3, 4])"
0,2,93.0,0.375,0.375,[5 0 2 9 6 7 1 0],"tensor([3, 0, 2, 4, 4, 1, 1, 2])"
0,2,94.0,0.75,0.75,[4 5 3 6 4 9 7 6],"tensor([4, 5, 3, 6, 7, 9, 7, 7])"
0,2,95.0,0.625,0.75,[5 8 9 3 9 1 2 1],"tensor([5, 8, 4, 8, 1, 1, 2, 1])"
0,2,96.0,0.75,0.75,[4 8 3 1 4 8 8 7],"tensor([4, 8, 3, 1, 1, 8, 1, 7])"
0,2,97.0,0.125,0.75,[4 0 3 7 0 1 4 3],"tensor([7, 6, 5, 3, 0, 3, 7, 1])"
0,2,98.0,0.375,0.75,[8 1 0 1 2 8 7 2],"tensor([4, 1, 6, 1, 2, 3, 1, 4])"
0,2,99.0,0.875,1.0,[4 4 0 0 0 4 9 7],"tensor([4, 7, 0, 0, 0, 4, 9, 7])"
0,2,100.0,0.25,0.625,[9 3 8 8 4 8 3 5],"tensor([9, 5, 1, 5, 7, 8, 5, 3])"
0,2,101.0,0.5,0.75,[7 2 9 3 2 0 9 4],"tensor([1, 2, 7, 0, 1, 0, 9, 4])"
0,2,102.0,0.375,0.75,[8 8 4 2 0 3 3 6],"tensor([5, 5, 7, 2, 0, 1, 3, 9])"
0,2,103.0,0.375,0.75,[9 5 4 3 2 4 6 5],"tensor([9, 6, 4, 7, 8, 9, 9, 5])"
0,2,104.0,0.5,0.75,[3 3 7 9 8 5 3 0],"tensor([5, 8, 7, 7, 8, 5, 0, 0])"
0,2,105.0,0.5,0.875,[2 1 6 1 7 9 5 9],"tensor([2, 8, 4, 1, 7, 7, 6, 9])"
0,2,106.0,0.5,0.875,[5 3 2 7 9 0 4 0],"tensor([6, 3, 2, 7, 4, 0, 7, 2])"
0,2,107.0,0.625,0.625,[3 3 3 0 6 0 8 6],"tensor([1, 3, 3, 0, 6, 6, 1, 6])"
0,2,108.0,0.625,0.75,[1 3 4 6 0 6 0 0],"tensor([1, 5, 4, 9, 9, 6, 0, 0])"
0,2,109.0,0.25,0.625,[7 2 2 3 9 9 7 6],"tensor([7, 6, 5, 8, 1, 4, 7, 9])"
0,2,110.0,0.375,0.75,[5 1 3 3 6 8 8 1],"tensor([8, 8, 5, 3, 6, 5, 5, 1])"
0,2,111.0,0.5,0.875,[5 6 7 7 3 3 2 7],"tensor([6, 9, 7, 7, 6, 0, 2, 7])"
0,2,112.0,0.25,0.625,[3 9 3 6 7 4 2 5],"tensor([1, 9, 6, 5, 9, 7, 2, 3])"
0,2,113.0,0.75,1.0,[5 1 9 4 8 8 1 3],"tensor([6, 1, 9, 4, 8, 8, 1, 2])"
0,2,114.0,0.375,0.625,[3 7 7 7 1 5 9 2],"tensor([8, 3, 7, 9, 1, 5, 3, 1])"
0,2,115.0,0.25,0.75,[6 7 2 1 0 0 5 0],"tensor([5, 9, 2, 1, 6, 9, 2, 2])"
0,2,116.0,0.5,0.75,[2 0 4 9 0 3 3 6],"tensor([2, 0, 7, 3, 6, 1, 3, 6])"
0,2,117.0,0.125,0.875,[7 8 5 1 9 5 0 5],"tensor([7, 1, 8, 8, 1, 0, 5, 2])"
0,2,118.0,0.625,0.75,[5 4 8 1 6 7 9 9],"tensor([1, 4, 8, 1, 6, 2, 9, 5])"
0,2,119.0,0.75,0.875,[9 4 1 8 2 1 3 3],"tensor([9, 4, 1, 8, 2, 1, 7, 6])"
0,2,120.0,0.375,0.75,[3 7 3 2 0 8 9 7],"tensor([6, 7, 8, 2, 9, 3, 8, 7])"
0,2,121.0,0.375,0.5,[1 8 8 0 8 8 8 2],"tensor([1, 1, 5, 2, 8, 8, 3, 7])"
0,2,122.0,0.625,0.875,[6 7 4 9 9 1 8 7],"tensor([6, 7, 7, 9, 1, 1, 2, 7])"
0,2,123.0,0.375,0.5,[3 2 4 9 8 7 6 8],"tensor([6, 9, 4, 1, 1, 7, 6, 0])"
0,2,124.0,0.5,0.75,[2 5 5 9 1 7 4 2],"tensor([2, 9, 8, 9, 8, 7, 4, 4])"
0,2,125.0,0.5,0.625,[0 9 7 6 6 2 1 4],"tensor([0, 3, 7, 9, 6, 9, 1, 7])"
0,2,126.0,0.625,0.875,[3 4 7 4 6 7 0 7],"tensor([5, 4, 7, 4, 5, 7, 0, 1])"
0,2,127.0,0.375,0.75,[1 2 2 7 9 1 9 7],"tensor([1, 6, 6, 5, 7, 1, 9, 1])"
0,2,128.0,0.375,0.75,[3 4 2 3 6 0 8 2],"tensor([5, 4, 4, 3, 6, 2, 3, 9])"
0,2,129.0,0.5,0.5,[7 7 8 8 4 8 1 6],"tensor([7, 1, 8, 2, 4, 3, 1, 9])"
0,2,130.0,0.625,0.75,[8 0 8 1 7 0 8 3],"tensor([8, 2, 6, 1, 7, 0, 8, 1])"
0,2,131.0,0.625,0.75,[1 1 9 3 7 9 2 3],"tensor([1, 1, 4, 3, 7, 8, 2, 2])"
0,2,132.0,0.125,0.5,[6 8 3 4 9 3 1 4],"tensor([7, 6, 2, 7, 4, 8, 1, 7])"
0,2,133.0,0.625,0.875,[6 5 1 6 5 9 4 1],"tensor([6, 5, 1, 5, 8, 9, 7, 1])"
0,2,134.0,0.5,0.75,[8 6 8 7 2 9 4 6],"tensor([8, 4, 8, 9, 2, 9, 7, 4])"
0,2,135.0,0.5,0.75,[9 1 6 6 8 7 5 7],"tensor([7, 1, 5, 1, 8, 9, 5, 7])"
0,2,136.0,0.5,1.0,[2 4 3 0 2 1 4 0],"tensor([2, 4, 3, 0, 7, 8, 7, 6])"
0,2,137.0,0.625,0.75,[7 6 3 5 3 7 8 9],"tensor([7, 5, 3, 2, 3, 1, 8, 9])"
0,2,138.0,1.0,1.0,[9 8 3 7 3 1 7 0],"tensor([9, 8, 3, 7, 3, 1, 7, 0])"
0,2,139.0,0.75,0.875,[1 5 6 2 7 1 4 1],"tensor([1, 0, 6, 2, 7, 8, 4, 1])"
0,2,140.0,0.75,0.875,[9 4 1 1 6 7 2 1],"tensor([9, 4, 1, 1, 1, 7, 6, 1])"
0,2,141.0,0.5,0.75,[0 7 6 2 8 8 0 9],"tensor([0, 3, 8, 5, 1, 8, 0, 9])"
0,2,142.0,0.625,0.75,[7 8 2 7 9 0 3 2],"tensor([7, 1, 2, 7, 9, 5, 2, 2])"
0,2,143.0,0.375,0.75,[1 1 9 3 4 2 8 3],"tensor([5, 1, 7, 3, 7, 3, 8, 8])"
0,2,144.0,0.25,0.375,[2 2 6 4 9 4 6 4],"tensor([6, 5, 1, 4, 7, 7, 6, 1])"
0,2,145.0,0.375,0.625,[4 2 8 5 8 4 3 0],"tensor([4, 2, 3, 3, 1, 1, 1, 0])"
0,2,146.0,0.25,0.625,[8 0 0 4 4 6 8 3],"tensor([5, 6, 2, 7, 4, 1, 6, 3])"
0,2,147.0,0.875,1.0,[9 9 1 2 1 6 7 4],"tensor([9, 9, 1, 2, 1, 6, 7, 7])"
0,2,148.0,0.625,0.875,[7 3 8 4 3 8 4 1],"tensor([7, 5, 8, 4, 1, 8, 4, 0])"
0,2,149.0,0.375,0.625,[6 9 4 5 6 6 0 3],"tensor([5, 9, 4, 8, 9, 9, 9, 3])"
0,2,150.0,0.75,0.875,[8 5 8 4 7 8 1 3],"tensor([8, 5, 8, 9, 7, 8, 1, 0])"
0,2,151.0,0.375,0.75,[4 3 1 4 0 6 6 2],"tensor([4, 1, 1, 7, 0, 8, 4, 6])"
0,2,152.0,0.375,0.625,[6 5 3 8 8 6 3 1],"tensor([9, 0, 5, 8, 8, 9, 1, 1])"
0,2,153.0,0.625,1.0,[9 6 8 0 7 5 7 1],"tensor([7, 6, 8, 0, 7, 8, 7, 0])"
0,2,154.0,0.375,0.375,[6 2 0 4 1 1 0 6],"tensor([4, 2, 6, 5, 1, 0, 0, 1])"
0,2,155.0,0.5,0.875,[4 1 6 2 9 2 7 5],"tensor([4, 1, 6, 4, 5, 4, 7, 0])"
0,2,156.0,0.5,0.625,[5 3 7 5 7 8 2 3],"tensor([6, 3, 7, 3, 1, 8, 9, 3])"
0,2,157.0,0.625,0.625,[7 0 1 6 6 4 4 7],"tensor([7, 0, 1, 9, 9, 4, 4, 1])"
0,2,158.0,0.625,0.75,[1 9 8 4 4 3 1 6],"tensor([1, 9, 2, 4, 4, 1, 5, 6])"
0,2,159.0,0.375,0.875,[3 0 3 7 2 1 9 4],"tensor([1, 9, 8, 7, 6, 1, 9, 7])"
0,2,160.0,0.375,0.75,[1 0 8 2 4 7 8 3],"tensor([1, 0, 8, 4, 5, 3, 3, 8])"
0,2,161.0,0.625,0.75,[9 0 4 8 4 4 4 3],"tensor([5, 0, 1, 8, 4, 4, 4, 0])"
0,2,162.0,0.5,0.5,[3 8 2 3 5 7 4 8],"tensor([2, 6, 2, 3, 3, 1, 4, 8])"
0,2,163.0,0.75,1.0,[3 4 2 2 6 1 7 0],"tensor([8, 4, 2, 2, 4, 1, 7, 0])"
0,2,164.0,0.375,0.875,[8 0 3 4 2 8 7 2],"tensor([3, 6, 3, 6, 5, 5, 7, 2])"
0,2,165.0,0.5,0.875,[3 7 8 6 8 1 9 0],"tensor([5, 7, 2, 8, 6, 1, 9, 0])"
0,2,166.0,0.5,0.625,[4 1 1 5 7 5 3 8],"tensor([7, 1, 1, 6, 9, 5, 3, 5])"
0,2,167.0,0.625,0.75,[2 4 4 1 4 4 4 6],"tensor([6, 9, 4, 1, 4, 4, 9, 6])"
0,2,168.0,0.5,0.875,[0 0 5 8 0 1 4 8],"tensor([6, 0, 6, 8, 0, 1, 7, 3])"
0,2,169.0,0.5,0.875,[1 8 3 2 3 1 3 9],"tensor([1, 8, 1, 7, 3, 1, 5, 4])"
0,2,170.0,0.25,0.5,[8 7 8 2 2 6 3 9],"tensor([5, 3, 8, 9, 8, 9, 6, 9])"
0,2,171.0,0.5,0.5,[3 1 3 8 2 3 3 9],"tensor([3, 1, 5, 2, 2, 3, 2, 7])"
0,2,172.0,0.5,0.75,[2 4 3 1 8 6 9 9],"tensor([2, 9, 2, 1, 5, 6, 5, 9])"
0,2,173.0,0.875,0.875,[8 1 7 8 1 4 0 4],"tensor([8, 1, 7, 8, 1, 7, 0, 4])"
0,2,174.0,0.375,0.75,[6 8 7 2 2 2 2 2],"tensor([6, 8, 1, 2, 1, 6, 7, 1])"
0,2,175.0,0.625,0.875,[0 2 3 8 8 0 1 8],"tensor([0, 2, 6, 8, 8, 6, 1, 5])"
0,2,176.0,0.375,0.375,[7 6 0 4 5 5 0 8],"tensor([3, 4, 9, 4, 6, 5, 0, 3])"
0,2,177.0,0.75,1.0,[1 2 2 2 8 2 2 3],"tensor([1, 2, 2, 2, 8, 6, 2, 8])"
0,2,178.0,0.375,0.625,[7 7 3 1 9 9 2 9],"tensor([7, 1, 1, 5, 9, 3, 5, 9])"
0,2,179.0,0.25,0.75,[2 7 8 0 3 9 0 4],"tensor([6, 7, 3, 0, 5, 5, 7, 9])"
0,2,180.0,0.625,0.625,[7 9 8 5 9 1 2 1],"tensor([7, 1, 8, 8, 7, 1, 2, 1])"
0,2,181.0,0.25,0.625,[2 8 9 1 4 6 3 9],"tensor([6, 6, 1, 1, 5, 7, 5, 9])"
0,2,182.0,0.75,0.75,[6 8 2 6 5 7 7 1],"tensor([6, 8, 2, 6, 0, 7, 2, 1])"
0,2,183.0,0.5,0.75,[5 6 6 4 4 5 0 2],"tensor([5, 6, 6, 7, 5, 0, 9, 2])"
0,2,184.0,0.75,0.75,[2 2 0 5 9 2 2 7],"tensor([2, 2, 0, 8, 5, 2, 2, 7])"
0,2,185.0,0.75,1.0,[3 0 4 3 1 1 1 1],"tensor([3, 6, 4, 9, 1, 1, 1, 1])"
0,2,186.0,0.375,0.625,[6 7 7 6 6 2 7 4],"tensor([4, 7, 9, 4, 1, 2, 7, 5])"
0,2,187.0,0.375,0.625,[9 2 9 3 7 7 5 8],"tensor([8, 2, 5, 2, 7, 7, 6, 6])"
0,2,188.0,0.25,0.375,[9 8 4 0 1 9 3 7],"tensor([4, 3, 9, 6, 1, 9, 8, 9])"
0,2,189.0,0.375,0.375,[7 2 6 2 4 3 1 7],"tensor([7, 1, 4, 1, 9, 2, 1, 7])"
0,2,190.0,0.5,0.75,[1 0 8 2 5 7 3 2],"tensor([1, 6, 2, 2, 8, 7, 8, 2])"
0,2,191.0,0.375,0.625,[8 6 4 2 6 5 9 8],"tensor([2, 1, 4, 1, 5, 3, 9, 8])"
0,2,192.0,0.5,0.5,[3 6 9 7 7 6 2 4],"tensor([3, 9, 7, 1, 7, 6, 2, 9])"
0,2,193.0,0.25,0.375,[9 5 7 9 9 3 3 0],"tensor([9, 8, 7, 5, 1, 8, 9, 2])"
0,2,194.0,0.375,0.875,[8 3 8 0 0 2 8 7],"tensor([8, 0, 8, 2, 2, 2, 5, 9])"
0,2,195.0,0.625,0.875,[6 8 8 2 8 2 5 1],"tensor([4, 8, 0, 2, 3, 2, 5, 1])"
0,2,196.0,0.25,0.5,[7 8 9 8 7 6 6 8],"tensor([1, 8, 5, 3, 7, 4, 4, 3])"
0,2,197.0,0.625,0.875,[5 6 2 3 2 5 0 7],"tensor([6, 4, 6, 3, 2, 5, 0, 7])"
0,2,198.0,0.375,0.625,[4 9 4 3 7 5 5 1],"tensor([7, 1, 1, 1, 7, 3, 5, 1])"
0,2,199.0,0.5,0.625,[3 4 2 6 6 6 9 9],"tensor([3, 4, 6, 4, 5, 6, 9, 5])"
0,2,200.0,0.375,0.5,[0 0 7 8 7 0 9 6],"tensor([0, 0, 1, 1, 8, 2, 9, 8])"
0,2,201.0,0.25,0.75,[9 8 0 1 5 8 8 1],"tensor([5, 6, 2, 1, 3, 5, 3, 1])"
0,2,202.0,0.75,0.75,[1 5 0 7 7 4 5 1],"tensor([1, 5, 0, 7, 7, 7, 8, 1])"
0,2,203.0,0.25,0.75,[6 3 7 4 7 5 5 6],"tensor([4, 1, 9, 7, 1, 8, 5, 6])"
0,2,204.0,0.375,0.375,[8 5 7 4 4 0 2 0],"tensor([5, 9, 1, 4, 5, 1, 2, 0])"
0,2,205.0,0.75,0.75,[4 1 7 5 1 4 3 8],"tensor([4, 1, 7, 3, 1, 4, 3, 6])"
0,2,206.0,0.5,0.75,[9 2 3 0 5 3 4 4],"tensor([1, 6, 3, 0, 6, 3, 4, 8])"
0,2,207.0,0.75,0.875,[4 7 5 8 6 1 0 7],"tensor([4, 7, 5, 8, 6, 8, 0, 8])"
0,2,208.0,0.375,0.5,[6 3 6 4 6 4 9 0],"tensor([5, 3, 8, 7, 9, 4, 9, 6])"
0,2,209.0,0.375,0.75,[6 0 8 4 9 7 4 6],"tensor([5, 6, 8, 4, 3, 7, 5, 4])"
0,2,210.0,0.25,0.25,[5 6 5 7 7 4 9 9],"tensor([8, 9, 8, 1, 7, 4, 1, 7])"
0,2,211.0,0.5,0.625,[1 6 7 3 4 7 5 4],"tensor([1, 6, 1, 5, 8, 1, 5, 4])"
0,2,212.0,0.5,0.75,[8 4 4 4 2 9 7 4],"tensor([8, 7, 9, 4, 2, 3, 7, 7])"
0,2,213.0,0.75,0.75,[0 3 2 6 0 2 4 9],"tensor([0, 3, 2, 5, 0, 2, 4, 3])"
